['1.이상해씨', '덩굴채찍', '파워휩', '덩굴채찍', '파워휩']
['2.이상해풀', '잎날가르기', '솔라빔', '잎날가르기', '파워휩']
['3.이상해꽃', '잎날가르기', '솔라빔', '잎날가르기', '꽃보라']
['4.파이리', '할퀴기', '화염방사', '불꽃세례', '니트로차지']
['5.리자드', '불꽃엄니', '화염방사', '불꽃엄니', '불꽃펀치']
['6.리자몽', '회오리불꽃', '오버히트', '회오리불꽃', '오버히트']
['7.꼬부기', '거품', '아쿠아테일', '거품', '물의파동']
['8.어니부기', '물기', '하이드로펌프', '물대포', '냉동빔']
['9.거북왕', '물기', '하이드로펌프', '물대포', '냉동빔']
['10.캐터피', '벌레먹음', '발버둥', '벌레먹음', '발버둥']
['11.단데기', '벌레먹음', '발버둥', '벌레먹음', '발버둥']
['12.버터플', '염동력', '벌레의야단법석', '염동력', '벌레의야단법석']
['13.뿔충이', '벌레먹음', '발버둥', '벌레먹음', '발버둥']
['14.딱충이', '벌레먹음', '발버둥', '벌레먹음', '발버둥']
['15.독침붕', '독찌르기', '오물폭탄', '독찌르기', '오물폭탄']
['16.구구', '몸통박치기', '제비반환', '전광석화', '제비반환']
['17.피죤', '강철날개', '제비반환', '강철날개', '제비반환']
['18.피죤투', '강철날개', '폭풍', '에어슬래시', '제비반환']
['19.꼬렛', '몸통박치기', '필살앞니', '전광석화', '필살앞니']
['20.레트라', '물기', '파괴광선', '전광석화', '필살앞니']
['21.깨비참', '쪼기', '불새', '쪼기', '회전부리']
['22.깨비드릴조', '강철날개', '불새', '강철날개', '제비반환']
['23.아보', '용해액', '오물폭탄', '용해액', '오물폭탄']
['24.아보크', '물기', '더스트슈트', '용해액', '더스트슈트']
['25.피카츄', '전광석화', '와일드볼트', '전광석화', '와일드볼트']
['26.라이츄', '스파크', '와일드볼트', '볼트체인지', '와일드볼트']
['27.모래두지', '할퀴기', '구멍파기', '머드숏', '모래지옥']
['28.고지', '메탈크로우', '지진', '메탈크로우', '땅고르기']
['29.니드런♀', '물기', '오물폭탄', '독침', '오물폭탄']
['30.니드리나', '물기', '오물폭탄', '독침', '오물폭탄']
['31.니드퀸', '독찌르기', '지진', '독찌르기', '지진']
['32.니드런♂', '쪼기', '오물폭탄', '쪼기', '오물폭탄']
['33.니드리노', '독찌르기', '오물폭탄', '독찌르기', '오물폭탄']
['34.니드킹', '독찌르기', '지진', '독찌르기', '지진']
['35.삐삐', '막치기', '문포스', '사념의박치기', '차밍보이스']
['36.픽시', '사념의박치기', '매지컬샤인', '사념의박치기', '매지컬샤인']
['37.식스테일', '불꽃세례', '화염방사', '불꽃세례', '니트로차지']
['38.나인테일', '회오리불꽃', '오버히트', '회오리불꽃', '오버히트']
['39.푸린', '막치기', '매지컬샤인', '속여때리기', '매지컬샤인']
['40.푸크린', '막치기', '파괴광선', '속여때리기', '매지컬샤인']
['41.주뱃', '물기', '에어컷터', '전광석화', '에어컷터']
['42.골뱃', '물기', '섀도볼', '날개치기', '섀도볼']
['43.뚜벅쵸', '잎날가르기', '오물폭탄', '잎날가르기', '씨폭탄']
['44.냄새꼬', '잎날가르기', '오물폭탄', '잎날가르기', '꽃보라']
['45.라플레시아', '잎날가르기', '솔라빔', '잎날가르기', '꽃보라']
['46.파라스', '할퀴기', '씨폭탄', '할퀴기', '씨폭탄']
['47.파라섹트', '벌레의저항', '솔라빔', '벌레의저항', '솔라빔']
['48.콘팡', '염동력', '시그널빔', '염동력', '시그널빔']
['49.도나리', '염동력', '벌레의야단법석', '염동력', '벌레의야단법석']
['50.디그다', '할퀴기', '진흙폭탄', '진흙뿌리기', '구멍파기']
['51.닥트리오', '진흙뿌리기', '지진', '진흙뿌리기', '진흙폭탄']
['52.나옹', '할퀴기', '속임수', '할퀴기', '깜짝베기']
['53.페르시온', '할퀴기', '속임수', '속여때리기', '치근거리기']
['54.고라파덕', '사념의박치기', '아쿠아테일', '사념의박치기', '아쿠아테일']
['55.골덕', '염동력', '하이드로펌프', '염동력', '하이드로펌프']
['56.망키', '할퀴기', '크로스촙', '태권당수', '깨트리다']
['57.성원숭', '카운터', '인파이트', '카운터', '인파이트']
['58.가디', '물기', '화염방사', '불꽃세례', '화염방사']
['59.윈디', '불꽃엄니', '불대문자', '불꽃엄니', '불대문자']
['60.발챙이', '거품', '거품광선', '거품', '거품광선']
['61.슈륙챙이', '거품', '거품광선', '거품', '물의파동']
['62.강챙이', '바위깨기', '폭발펀치', '바위깨기', '폭발펀치']
['63.캐이시', '사념의박치기', '사이코쇼크', '사념의박치기', '사이코쇼크']
['64.윤겔라', '염동력', '섀도볼', '염동력', '매지컬샤인']
['65.후딘', '염동력', '미래예지', '염동력', '미래예지']
['66.알통몬', '바위깨기', '크로스촙', '바위깨기', '크로스촙']
['67.근육몬', '안다리걸기', '폭발펀치', '태권당수', '폭발펀치']
['68.괴력몬', '카운터', '폭발펀치', '카운터', '폭발펀치']
['69.모다피', '덩굴채찍', '파워휩', '용해액', '파워휩']
['70.우츠동', '용해액', '파워휩', '용해액', '파워휩']
['71.우츠보트', '잎날가르기', '솔라빔', '잎날가르기', '리프블레이드']
['72.왕눈해', '거품', '거품광선', '거품', '물의파동']
['73.독파리', '독찌르기', '하이드로펌프', '독찌르기', '하이드로펌프']
['74.꼬마돌', '돌떨구기', '스톤샤워', '돌떨구기', '구멍파기']
['75.데구리', '돌떨구기', '스톤에지', '진흙뿌리기', '구멍파기']
['76.딱구리', '돌떨구기', '스톤에지', '돌떨구기', '지진']
['77.포니타', '불꽃세례', '니트로차지', '불꽃세례', '니트로차지']
['78.날쌩마', '회오리불꽃', '불대문자', '회오리불꽃', '불대문자']
['79.야돈', '염동력', '사이코키네시스', '염동력', '사이코쇼크']
['80.야도란', '염동력', '사이코키네시스', '염동력', '사이코키네시스']
['81.코일', '스파크', '10만볼트', '스파크', '마그넷봄']
['82.레어코일', '스파크', '전자포', '차지빔', '마그넷봄']
['83.파오리', '에어슬래시', '리프블레이드', '에어슬래시', '리프블레이드']
['84.두두', '쪼기', '회전부리', '쪼기', '회전부리']
['85.두트리오', '강철날개', '회전부리', '강철날개', '회전부리']
['86.쥬쥬', '핥기', '아쿠아테일', '얼음뭉치', '아쿠아테일']
['87.쥬레곤', '아이언테일', '눈보라', '아이언테일', '오로라빔']
['88.질퍽이', '독찌르기', '오물폭탄', '진흙뿌리기', '오물폭탄']
['89.질뻐기', '독찌르기', '더스트슈트', '독찌르기', '더스트슈트']
['90.셀러', '몸통박치기', '거품광선', '얼음뭉치', '물의파동']
['91.파르셀', '얼음숨결', '눈사태', '얼음뭉치', '눈사태']
['92.고오스', '핥기', '오물폭탄', '놀래키기', '오물폭탄']
